# Source: libretro/libretro-database metadat/redump/Sega - Dreamcast.dat
# Source version inspected: 2026.08.01
# Columns: profile_game	region	redump_name	redump_serial	flycast_product_number	status
Sonic Adventure 2	Europe / North America	Sonic Adventure 2 (retail)	952-0161-50 / MK-51117-50 / 51117	MK-51117	retail-profile
Sonic Adventure 2	Japan	Sonic Adventure 2 (Japan)	HDR-0165	HDR-0165	retail-profile
Dead or Alive 2	Observed CDI	Dead or Alive 2	(not in Redump DAT)	RDC-0149	observed-profile
Dead or Alive 2	Observed USA CDI	Dead or Alive 2 (USA)[RDC]	(not in Redump DAT)	RDC-0140	observed-profile
Dead or Alive 2	Europe	Dead or Alive 2 (Europe)	T-8116D-50	T8116D50	retail-profile
Dead or Alive 2	Japan	Dead or Alive 2 (Japan)	T-3602M	T3602M	retail-profile
Dead or Alive 2	Japan	Dead or Alive 2 (Japan) (Shokai Genteiban)	T-3601M	T3601M	retail-profile
Dead or Alive 2	North America	Dead or Alive 2 (USA)	T-3601N	T3601N	retail-profile
Soul Calibur	Europe	Soulcalibur (Europe)	950-0019-50 / T-1401D-50	T1401D50	retail-profile
Soul Calibur	Japan	Soulcalibur (Japan)	T-1401M	T1401M	retail-profile
Soul Calibur	North America	Soulcalibur (USA)	T-1401N	T1401N	retail-profile
Crazy Taxi	Europe / North America	Crazy Taxi (retail)	952-0031-50 / MK-51035-50 / 51035	MK-51035	retail-profile
Crazy Taxi	Japan	Crazy Taxi (Japan)	HDR-0053	HDR-0053	retail-profile
Ikaruga	Japan	Ikaruga (Japan)	T-38706M	T38706M	retail-profile
Marvel vs. Capcom 2	USA	Marvel vs. Capcom 2 (USA)	T-1212N	T1212N	retail-profile
Marvel vs. Capcom 2	Europe	Marvel vs. Capcom 2 - New Age of Heroes (Europe)	T-7010D-50	T7010D50	retail-profile
Marvel vs. Capcom 2	Japan	Marvel vs. Capcom 2 - New Age of Heroes (Japan)	T-1215M	T1215M	retail-profile
Virtua Tennis	Europe / North America	Virtua Tennis - Sega Professional Tennis (retail)	MK-51054-50 / 51054	MK-51054	retail-profile
Virtua Tennis	Japan	Power Smash - Sega Professional Tennis (Japan)	HDR-0113	HDR-0113	retail-profile
Power Stone	Observed USA CDI	Power Stone (USA)[RDC]	(not in Redump DAT)	RDC-0034	observed-profile
Power Stone	Europe	Power Stone (Europe 61)	T-36801D-61	T36801D61	retail-baseline
Power Stone	Europe	Power Stone (Europe 64)	T-36801D-64	T36801D64	retail-baseline
Power Stone	Japan	Power Stone (Japan)	T-1201M	T1201M	retail-baseline
Power Stone	North America	Power Stone (USA)	T-1201N	T1201N	retail-baseline
ChuChu Rocket	Europe / North America	ChuChu Rocket! (retail)	952-0044-50 / MK-51049-50 / MK-51049-B5 / 51049	MK-51049	retail-profile
Sonic Adventure	Europe / North America	Sonic Adventure (retail)	MK-51000-53 / 51000	MK-51000	retail-baseline
Sonic Adventure	Japan	Sonic Adventure (Japan)	HDR-0001	HDR-0001	retail-baseline
Sonic Adventure	Japan	Sonic Adventure International (Japan)	HDR-0043	HDR-0043	retail-baseline
Shenmue	Europe / North America	Shenmue (retail, all discs)	MK-51059-50 / 51059	MK-51059	retail-baseline
Shenmue	North America	Shenmue (USA revision, all discs)	51131	MK-51131	retail-baseline
Shenmue	Japan	Shenmue - Isshou Yokosuka (retail, all discs)	HDR-0016	HDR-0016	retail-baseline
Shenmue	Japan	Shenmue - Isshou Yokosuka (revision, all discs)	HDR-0031	HDR-0031	retail-baseline
Resident Evil: Code Veronica	Europe	Resident Evil - Code - Veronica (Europe, all discs)	T-36806D-05	T36806D05	retail-baseline
Resident Evil: Code Veronica	France	Resident Evil - Code - Veronica (France, all discs)	T-36806D-09	T36806D09	retail-baseline
Resident Evil: Code Veronica	Germany	Resident Evil - Code - Veronica (Germany, all discs)	T-36806D-18	T36806D18	retail-baseline
Resident Evil: Code Veronica	Spain	Resident Evil - Code - Veronica (Spain, all discs)	T-36806D-06	T36806D06	retail-baseline
Resident Evil: Code Veronica	North America	Resident Evil - Code - Veronica (USA, all discs)	T-1204N	T1204N	retail-baseline
Resident Evil: Code Veronica	Japan	Biohazard - Code - Veronica (retail, all discs)	T-1207M	T1207M	retail-baseline
Resident Evil: Code Veronica	Japan	Biohazard - Code - Veronica (Genteiban, all discs)	T-1210M	T1210M	retail-baseline
Resident Evil: Code Veronica	Japan	Biohazard - Code - Veronica - Kanzenban (all discs)	T-1240M	T1240M	retail-baseline
Jet Set Radio	Europe / North America	Jet Set Radio / Jet Grind Radio (retail)	952-0101-50 / MK-51058-50 / 51058	MK-51058	retail-profile
Jet Set Radio	North America	Jet Grind Radio (USA revision)	51084	MK-51084	retail-baseline
Jet Set Radio	Japan	Jet Set Radio (Japan)	HDR-0078	HDR-0078	retail-baseline
Jet Set Radio	Japan	De La Jet Set Radio (Japan)	HDR-0128	HDR-0128	retail-baseline
Jet Set Radio	Japan	De La Jet Set Radio (Japan revision)	HDR-0186	HDR-0186	retail-baseline
Power Stone 2	Europe	Power Stone 2 (Europe 61)	T-36812D-61	T36812D61	retail-baseline
Power Stone 2	Europe	Power Stone 2 (Europe 64)	T-36812D-64	T36812D64	retail-baseline
Power Stone 2	Japan	Power Stone 2 (Japan)	T-1218M	T1218M	retail-baseline
Power Stone 2	North America	Power Stone 2 (USA)	T-1211N	T1211N	retail-baseline
Skies of Arcadia	Europe / North America	Skies of Arcadia (retail, all discs)	MK-51052-50 / 51052	MK-51052	retail-baseline
Skies of Arcadia	Japan	Eternal Arcadia (retail, all discs)	HDR-0076	HDR-0076	retail-baseline
Skies of Arcadia	Japan	Eternal Arcadia (revision, all discs)	HDR-0109	HDR-0109	retail-baseline
Skies of Arcadia	Japan	Eternal Arcadia (@barai, all discs)	HDR-0119	HDR-0119	retail-baseline
Capcom vs. SNK 2	Japan	Capcom vs. SNK 2 - Millionaire Fighting 2001	T-1249M	T1249M	retail-baseline
Phantasy Star Online	Europe / North America	Phantasy Star Online (retail)	952-0126-50 / MK-51100-50 / 51100	MK-51100	retail-baseline
Phantasy Star Online	Japan	Phantasy Star Online (Japan)	HDR-0129	HDR-0129	retail-baseline
The House of the Dead 2	Europe / North America	The House of the Dead 2 (retail)	MK-51002-50 / 51002	MK-51002	retail-baseline
The House of the Dead 2	Europe	The House of the Dead 2 (Europe revision)	MK-55045-50	MK-55045	retail-baseline
The House of the Dead 2	Japan	The House of the Dead 2 (Japan)	HDR-0007	HDR-0007	retail-baseline
The House of the Dead 2	Japan	The House of the Dead 2 (Japan revision)	HDR-0011	HDR-0011	retail-baseline
NFL 2K	North America	NFL 2K (USA)	51003	MK-51003	retail-baseline
NFL 2K	Japan	NFL 2K (Japan)	HDR-0058	HDR-0058	retail-baseline
NFL 2K	Japan	NFL 2K (Japan revision)	HDR-0141	HDR-0141	retail-baseline
NFL 2K1	North America	NFL 2K1 (USA, Canada)	51062	MK-51062	retail-baseline
NFL 2K1	North America	NFL 2K1 (USA, Canada revision)	51069	MK-51069	retail-baseline
NFL 2K1	Japan	NFL 2K1 (Japan)	HDR-0144	HDR-0144	retail-baseline
Sega Rally 2	Europe / North America	Sega Rally 2 (retail)	950-0013-50 / MK-51019-50 / 51019	MK-51019	retail-baseline
Sega Rally 2	Japan	Sega Rally 2 (Japan)	HDR-0010	HDR-0010	retail-baseline
Hydro Thunder	Europe	Hydro Thunder (Europe)	T-9702D-51	T9702D51	retail-baseline
Hydro Thunder	North America	Hydro Thunder (USA)	T-9702N	T9702N	retail-baseline
F355 Challenge	Europe	F355 Challenge - Passione Rossa (Europe)	T-8118D-05 / T-8118D-18	T8118D50	retail-baseline
F355 Challenge	North America	F355 Challenge - Passione Rossa (USA)	T-8119N	T8119N	retail-baseline
F355 Challenge	Japan	F355 Challenge (Japan)	HDR-0100	HDR-0100	retail-baseline
Daytona USA 2001	Europe / North America	Daytona USA 2001 / Daytona USA (retail)	MK-51037-50 / 51037	MK-51037	retail-profile
Daytona USA 2001	Japan	Daytona USA 2001 (Japan)	HDR-0106	HDR-0106	retail-baseline
Virtua Fighter 3tb	Europe / North America	Virtua Fighter 3tb (retail)	950-0005-50 / MK-51001-53 / 51001	MK-51001	retail-baseline
Virtua Fighter 3tb	Japan	Virtua Fighter 3tb (Japan)	HDR-0002	HDR-0002	retail-baseline
Virtua Fighter 3tb	Japan	Virtua Fighter 3tb (Japan Rev 1)	HDR-0017	HDR-0017	retail-baseline
Cosmic Smash	Japan	Cosmic Smash (Japan)	HDR-0176	HDR-0176	retail-baseline
Toy Commander	Europe / North America	Toy Commander (retail)	950-0011-50 / MK-51020-50 / 51020	MK-51020	retail-baseline
Cannon Spike	Europe	Cannon Spike (Europe)	T-46601D-50	T46601D50	retail-baseline
Cannon Spike	North America	Cannon Spike (USA)	T-1215N	T1215N	retail-profile
Cannon Spike	Japan	Gunspike (Japan)	T-1219M	T1219M	retail-baseline
Rez	Europe	Rez (Europe)	MK-51192-50	MK-51192	retail-baseline
Rez	Japan	Rez (Japan)	HDR-0178	HDR-0178	retail-baseline
Street Fighter III: 3rd Strike	Europe	Street Fighter III - 3rd Strike (Europe)	T-7013D-50	T7013D50	retail-baseline
Street Fighter III: 3rd Strike	North America	Street Fighter III - 3rd Strike (USA)	T-1213N	T1213N	retail-baseline
Street Fighter III: 3rd Strike	Japan	Street Fighter III - 3rd Strike - Fight for the Future	T-1209M	T1209M	retail-baseline
Street Fighter Alpha 3	Europe	Street Fighter Alpha 3 (Europe)	T-7005D-50	T7005D50	retail-baseline
Street Fighter Alpha 3	North America	Street Fighter Alpha 3 (USA)	T-1203N	T1203N	retail-baseline
Street Fighter Alpha 3	Japan	Street Fighter Zero 3 - Saikyo-ryu Dojo	T-1203M	T1203M	retail-baseline
Street Fighter Alpha 3	Japan	Street Fighter Zero 3 - Saikyo-ryu Dojo for Matching Service	T-1230M	T1230M	retail-baseline
Sega Bass Fishing	Europe / North America	Sega Bass Fishing (retail)	950-0012-50 / MK-51006-50 / 51006	MK-51006	retail-baseline
Sega Bass Fishing	Japan	Get Bass (Japan)	610-7114 / HDR-0012	HDR-0012	retail-baseline
